sentence_id	chunks_ids	type	score	chunk1	chunk2
1	0 <==> 9	NOALI	0	-not aligned-	, 
1	1 2 3 4 5 6 <==> 4 5 6 7 8	SPE1_FACT	3	Former Nazi death camp guard Demjanjuk	convicted Nazi death camp guard 
1	0 <==> 1 2	ALIC	0	-not aligned-	John Demjanjuk 
1	8 9 <==> 11 12	EQUI	5	at 91	aged 91 
1	0 <==> 3	NOALI	0	-not aligned-	, 
1	7 <==> 10	EQUI	5	dead	dies 
2	4 <==> 1 2	EQUI	5	women	Saudi Women 
2	5 6 <==> 4 5	EQUI	5	to compete	To Compete 
2	2 3 <==> 3	EQUI	5	to permit	Allowed 
2	1 <==> 0	ALIC	0	Saudis	-not aligned- 
2	7 8 <==> 6 7	EQUI	5	in Olympics	At Olympics 
3	7 8 <==> 7 8	EQUI	5	in Pakistan	in Pakistan 
3	5 6 <==> 4 5 6	SIMI_FACT	4	5 militants	four suspected militants 
3	1 2 3 <==> 1 2	SPE1	4	US drone strike	Drone strike 
3	4 <==> 3	EQUI	5	kills	kills 
4	9 <==> 0	NOALI	0	opposition	-not aligned- 
4	8 <==> 0	NOALI	0	"	-not aligned- 
4	0 <==> 3	NOALI	0	-not aligned-	dashed 
4	7 <==> 0	NOALI	0	,	-not aligned- 
4	10 <==> 0	NOALI	0	says	-not aligned- 
4	5 <==> 0	NOALI	0	"	-not aligned- 
4	0 <==> 4 5 6	NOALI	0	-not aligned-	as deadline passes 
4	1 2 3 4 <==> 1 2	SPE1	2	Syria peace plan conditions	Syria peace 
4	6 <==> 0	NOALI	0	unacceptable	-not aligned- 
5	0 <==> 3	NOALI	0	-not aligned-	rebels 
5	0 <==> 7 8 9	NOALI	0	-not aligned-	of over 100 
5	0 <==> 2	NOALI	0	-not aligned-	blames 
5	1 2 <==> 1	EQUI_POL	5	Syrian regime	Syria 
5	3 <==> 0	NOALI	0	denies	-not aligned- 
5	4 <==> 0	NOALI	0	role	-not aligned- 
5	5 6 7 <==> 4 5 6	EQUI	5	in Houla massacre	for Houla massacre 
6	4 <==> 4	SIMI	2	mixed	higher 
6	5 <==> 5 6	SPE2	4	Friday	midday Friday 
6	3 <==> 3	EQUI	5	close	close 
6	1 2 <==> 1 2	EQUI	5	China stocks	Chinese stocks 
7	3 <==> 5	EQUI	5	used	used 
7	0 <==> 3	NOALI	0	-not aligned-	, 
7	1 2 <==> 4	SPE1	4	Mall attackers	attackers 
7	0 <==> 1 2	NOALI	0	-not aligned-	In Kenya 
7	4 5 6 7 8 9 <==> 6 7 8 9 10 11	EQUI	5	` less is more ' strategy	` less is more ' strategy 
8	3 4 <==> 4 5	EQUI	5	strikes off	strikes off 
8	1 2 <==> 1 2 3	SIMI	4	6.8 quake	Magnitude 6.3 quake 
8	0 <==> 9	NOALI	0	-not aligned-	USGS 
8	5 6 <==> 6 7	EQUI	5	Solomon Islands	Solomon Islands 
8	0 <==> 8	NOALI	0	-not aligned-	: 
9	5 6 <==> 7	EQUI	5	opposition coalition	opposition 
9	1 <==> 3	EQUI	5	Friends	Friends 
9	0 <==> 2	NOALI	0	-not aligned-	, 
9	4 <==> 6	EQUI	5	recognizes	recognize 
9	7 8 9 <==> 8 9 10	SIMI	4	as legitimate representative	as sole representative 
9	2 3 <==> 4 5	EQUI	5	of Syria	of Syria 
9	0 <==> 1	NOALI	0	-not aligned-	U.S. 
9	10 11 12 <==> 0	NOALI	NIL	of Syrian people	-not aligned- 
10	0 <==> 1	NOALI	0	-not aligned-	China 
10	1 <==> 3	EQUI	5	7	7 
10	2 <==> 2	EQUI	5	detained	detains 
10	3 4 5 6 7 8 <==> 4 5 6 7 8 9	EQUI	5	for ` house sister ' scandal	for `` house sister '' scandal 
11	8 9 10 <==> 3	EQUI	5	takes a beating	tumbles 
11	1 2 3 <==> 6 7 8	EQUI	5	Boeing 787 Dreamliner	on 787 Dreamliner 
