sentence_id	chunks_ids	type	score	chunk1	chunk2
1	7 <==> 0	NOALI	0	.	-not aligned- 
1	0 <==> 7 8	NOALI	NIL	-not aligned-	high up 
1	3 <==> 6	EQUI	5	standing	is 
1	4 5 6 <==> 9 10 11	EQUI	5	on tree branches	on tree branches 
1	0 <==> 12	NOALI	0	-not aligned-	. 
1	1 2 <==> 1 2 3 4 5	SPE2	4	A cat	A black and white cat 
2	10 <==> 0	NOALI	0	.	-not aligned- 
2	1 2 3 <==> 1 2 3	EQUI	5	A large boat	A large boat 
2	0 <==> 7	NOALI	0	-not aligned-	. 
2	4 5 6 <==> 4 5 6	SPE2	4	in the water	on the sea 
2	7 8 9 <==> 0	NOALI	NIL	at the marina	-not aligned- 
3	1 2 3 <==> 1 2 3	EQUI	5	A passenger train	A passenger train 
3	0 <==> 8	NOALI	0	-not aligned-	. 
3	8 <==> 0	NOALI	0	.	-not aligned- 
3	4 <==> 4	SIMI	4	waiting	sits 
3	5 6 7 <==> 5 6 7	EQUI	5	in a station	in the station 
4	0 <==> 8	NOALI	0	-not aligned-	. 
4	5 6 7 <==> 5 6 7	EQUI	5	on the floor	on the floor 
4	8 <==> 0	NOALI	0	.	-not aligned- 
4	4 <==> 4	EQUI	5	sitting	sitting 
4	1 2 3 <==> 1 2 3	EQUI	5	An Apple computer	A Macintosh computer 
5	0 <==> 9	NOALI	0	-not aligned-	. 
5	1 2 <==> 1 2	EQUI	5	A jockey	A jockey 
5	6 <==> 0	NOALI	0	.	-not aligned- 
5	4 5 <==> 4 5	EQUI	5	a horse	a horse 
5	0 <==> 6 7 8	NOALI	NIL	-not aligned-	in a pen 
5	3 <==> 3	EQUI	5	riding	riding 
6	7 <==> 0	NOALI	0	.	-not aligned- 
6	1 2 <==> 1 2 3	SIMI	4	A woman	A young girl 
6	4 5 6 <==> 5 6 7	EQUI	5	a brown horse	a brown horse 
6	0 <==> 8	NOALI	0	-not aligned-	. 
6	3 <==> 4	EQUI	5	riding	riding 
7	0 <==> 10	NOALI	0	-not aligned-	. 
7	7 8 9 <==> 0	ALIC	NIL	in his lap	-not aligned- 
7	0 <==> 4 5 6	NOALI	NIL	-not aligned-	in a chair 
7	3 <==> 3	EQUI	5	sleeps	asleep 
7	1 2 <==> 1 2	EQUI	5	A man	A man 
7	10 <==> 0	NOALI	0	.	-not aligned- 
7	4 5 6 <==> 7 8 9	SPE2	4	with a baby	holding a baby 
8	5 6 7 8 9 <==> 5 6 7	SIMI	2	in front of yellow flowers	in a field 
8	0 <==> 8	NOALI	0	-not aligned-	. 
8	4 <==> 4	EQUI	5	standing	standing 
8	10 <==> 0	NOALI	0	.	-not aligned- 
8	1 2 3 <==> 1 2 3	EQUI	5	A black dog	A black dog 
9	3 4 <==> 4 5 6	EQUI	5	in afield	in a field 
9	2 <==> 3	SPE2	3	standing	grazing 
9	1 <==> 1 2	EQUI	5	sheep	A sheep 
9	5 <==> 0	NOALI	0	.	-not aligned- 
9	0 <==> 7	NOALI	0	-not aligned-	. 
10	9 <==> 0	NOALI	0	.	-not aligned- 
10	5 <==> 4	EQUI	5	standing	stands 
10	0 <==> 10	NOALI	0	-not aligned-	. 
10	1 2 3 4 <==> 1 2 3	SPE1	4	A dark brown horse	A brown horse 
10	6 7 8 <==> 5 6 7 8 9	SPE2	3	in a field	in a lush green field 
11	13 <==> 0	NOALI	0	.	-not aligned- 
11	9 10 <==> 9 10 11 12	SPE2	4	with food	with food and beer 
11	3 4 <==> 3 4	EQUI	5	of people	of people 
11	6 7 8 <==> 6 7 8	EQUI	5	around a table	around a table 
11	0 <==> 13	NOALI	0	-not aligned-	. 
11	11 12 <==> 0	NOALI	NIL	on it	-not aligned- 
11	1 2 <==> 1 2	EQUI	5	A group	A group 
11	5 <==> 5	EQUI	5	sitting	sit 
12	4 <==> 0	NOALI	0	stands	-not aligned- 
12	1 2 3 <==> 1 2 3	EQUI	5	A brown horse	A brown horse 
12	0 <==> 8	NOALI	0	-not aligned-	. 
12	5 6 7 8 9 <==> 4 5 6 7	SPE1	4	in a lush green field	in a green field 
12	10 <==> 0	NOALI	0	.	-not aligned- 
13	8 9 10 <==> 9 10 11	EQUI	5	with two cats	with two cats 
13	11 12 13 <==> 12 13 14	EQUI	5	at her feet	at her feet 
13	0 <==> 15	NOALI	0	-not aligned-	. 
13	5 6 7 <==> 6 7 8	EQUI	5	in a kitchen	in the kitchen 
13	4 <==> 4 5	EQUI	5	stands	is standing 
13	1 2 3 <==> 1 2 3	EQUI	5	An elderly woman	The old lady 
13	14 <==> 0	NOALI	0	.	-not aligned- 
14	1 2 3 4 <==> 1 2 3 4	SPE1	4	Red double decker bus	Double decker passenger bus 
14	0 <==> 8	NOALI	0	-not aligned-	. 
14	6 7 8 <==> 6 7	REL	3	through the streets	with traffic 
14	9 <==> 0	NOALI	0	.	-not aligned- 
14	5 <==> 5	EQUI	5	driving	driving 
15	0 <==> 11	NOALI	0	-not aligned-	. 
15	4 5 6 7 <==> 7 8 9 10	EQUI	5	in a cluttered room	in a cluttered room 
15	3 <==> 3	SIMI	4	sitting	lies 
15	0 <==> 4 5 6	NOALI	NIL	-not aligned-	in a bed 
15	1 2 <==> 1 2	EQUI	5	A man	A man 
15	8 <==> 0	NOALI	0	.	-not aligned- 
16	3 <==> 2	EQUI	5	walking	walking 
16	4 5 <==> 3 4 5	SIMI	4	under trees	under the tree 
16	8 <==> 0	NOALI	0	.	-not aligned- 
16	1 2 <==> 1	SPE1	4	Black cow	Cow 
16	6 7 <==> 6 7 8	EQUI	5	in pasture	in a pasture 
16	0 <==> 9	NOALI	0	-not aligned-	. 
17	1 2 3 <==> 1 2	SIMI	3	A smiling woman	Two women 
17	0 <==> 6	NOALI	0	-not aligned-	. 
17	9 10 11 12 <==> 5	REL	2	with another smiling woman	laughing 
17	13 <==> 0	NOALI	0	.	-not aligned- 
17	4 5 6 <==> 0	NOALI	NIL	with a beer	-not aligned- 
17	7 <==> 3	EQUI	5	sitting	sitting 
17	8 <==> 4	EQUI	5	outside	outside 
18	0 <==> 11	NOALI	0	-not aligned-	. 
18	3 4 5 6 <==> 4 5 6 7 8 9 10	SPE2	3	with a big necklace	with a black top and a necklace 
18	7 <==> 0	NOALI	0	.	-not aligned- 
18	1 2 <==> 1 2 3	SPE2	4	a woman	A young woman 
